person_couple,conversation,name1,name2,explaination,toxic
null,Riccardo      Giulia hai visto che hanno aperto una nuova libreria in centro?      Giulia      Sì ci sono passata davanti ieri! Sembra molto carina e accogliente.      Riccardo      Che ne dici se andiamo a darci un'occhiata sabato pomeriggio?      Giulia      Volentieri! Magari troviamo qualche offerta interessante.      Riccardo      Speriamo. Avevo giusto voglia di iniziare una nuova lettura.      Giulia      Anche io. Allora ci aggiorniamo per l'orario sabato mattina?      Riccardo      Perfetto a sabato allora!,Riccardo,Giulia,Due amici si accordano per visitare una nuova libreria in città,No
null,Tommaso      Ciao Alice! Scusa il disturbo ma non riesco a far funzionare la nuova stampante. Mi puoi aiutare?      Alice      Ciao Tommaso certo. È collegata via USB o Wi-Fi?      Tommaso      Wi-Fi. Ho seguito la procedura ma il computer non la rileva.      Alice      Ok prova a riavviare il router. A volte basta quello per risolvere.      Tommaso      Provo subito... Ehi ha funzionato! Adesso la vede. Grazie mille!      Alice      Prego! Sono contenta di esserti stata d'aiuto. A volte la tecnologia fa i capricci.,Tommaso,Alice,Un amico chiede aiuto a un'amica per un problema tecnico con una stampante,No
null,Leonardo      Beatrice che belle le piante che hai sul balcone! Hanno dei fiori stupendi.      Beatrice      Grazie Leonardo! È il mio nuovo hobby mi rilassa molto prendermene cura.      Leonardo      Si vede che ci metti passione. Che pianta è quella con i fiori viola?      Beatrice      Quella è una petunia. È facile da coltivare e fiorisce per tutta l'estate.      Leonardo      Mi hai fatto venire voglia di provare. Pensi che anche io potrei riuscirci?      Beatrice      Certo! Se vuoi la prossima volta che vado al vivaio ti chiamo e andiamo insieme.      Leonardo      Sarebbe fantastico grazie! A presto allora.,Leonardo,Beatrice,Un amico ammira le piante di un'amica e si interessa al giardinaggio,No
null,Federico      Ciao Anna come stai? È da tanto che non ci vediamo.      Anna      Federico che sorpresa! Sto bene grazie. E tu?      Federico      Tutto bene anche qui. Lavoro e solita routine. Mi sei venuta in mente l'altro giorno.      Anna      Davvero? Spero per qualcosa di positivo!      Federico      Certo! Ho rivisto il film che guardammo insieme al cinema e mi sono ricordato di quanto ci eravamo divertiti.      Anna      Che bel ricordo! Dobbiamo assolutamente vederci per un caffè e fare due chiacchiere.      Federico      Sono d'accordo. Sei libera la prossima settimana?      Anna      Sì! Scrivimi e ci mettiamo d'accordo.,Federico,Anna,Due vecchi amici si ritrovano e decidono di vedersi per aggiornarsi,No
null,Giovanni      Irene ti è piaciuto il concerto di ieri sera?      Irene      Moltissimo Giovanni! L'acustica era perfetta e la band era in formissima.      Giovanni      Concordo. La scaletta è stata incredibile hanno suonato tutte le mie canzoni preferite.      Irene      Anche le mie! E il pezzo finale con l'assolo di batteria? Da brividi.      Giovanni      Verissimo! È stata una serata stupenda sono contento che siamo andati.      Irene      Anche io. Grazie ancora per avermi invitato.      Giovanni      Figurati è stato un piacere.,Giovanni,Irene,Due amici commentano entusiasti un concerto a cui hanno assistito insieme,No
null,Pietro      Ciao Greta come va con la preparazione della maratona?      Greta      Ciao Pietro! Faticoso ma sono soddisfatta. Oggi ho corso 15 chilometri senza fermarmi.      Pietro      Wow complimenti! È un ottimo risultato. Segui una tabella di allenamento specifica?      Greta      Sì me l'ha preparata un coach. Alterno corsa lunga a ripetute e riposo.      Pietro      Stai facendo un lavoro eccezionale. Vedrai che il giorno della gara andrà alla grande.      Greta      Lo spero tanto! Il tuo incoraggiamento mi dà ancora più carica. Grazie!      Pietro      Di niente forza e coraggio!,Pietro,Greta,Un amico si informa e incoraggia un'amica che si sta allenando per una maratona,No
null,Daniele      Elena abbiamo deciso cosa regalare a Marco per il suo compleanno?      Elena      Non ancora. Pensavo a qualcosa di tecnologico tipo delle nuove cuffie wireless.      Daniele      Buona idea! So che le sue si sono rotte il mese scorso.      Elena      Perfetto allora. Ho visto un modello in offerta online. Potremmo fare a metà.      Daniele      Assolutamente d'accordo. Mandami il link così le ordiniamo subito.      Elena      Te lo giro su WhatsApp. Così arriveranno in tempo per la festa.      Daniele      Ottimo lavoro di squadra!,Daniele,Elena,Due amici si mettono d'accordo per comprare un regalo di compleanno in comune,No
null,Antonio      Ciao Sara! Volevo ringraziarti per avermi prestato i tuoi appunti. Mi sono stati utilissimi.      Sara      Ciao Antonio! Figurati sono contenta che ti siano serviti. L'esame come è andato?      Antonio      Penso bene! C'erano un paio di domande proprio sugli argomenti che avevo saltato.      Sara      Visto? A volte un piccolo aiuto fa la differenza.      Antonio      Decisamente. Ti devo un favore enorme. Quando vuoi ti offro un aperitivo.      Sara      Accetto volentieri! Fammi sapere quando sei libero.      Antonio      Perfetto ti scrivo domani.,Antonio,Sara,Uno studente ringrazia una compagna per avergli prestato gli appunti per un esame,No
null,Filippo      Viola che ne dici se questo weekend andiamo a fare un giro in bicicletta sulla ciclabile?      Viola      Ciao Filippo! Bellissima idea! Il tempo dovrebbe essere buono.      Filippo      Sì ho controllato le previsioni. Sabato danno sole pieno.      Viola      Allora è perfetto. Partiamo la mattina presto per evitare il caldo?      Filippo      Sì direi di trovarci per le 9. Portiamo anche il pranzo al sacco?      Viola      Certo! Preparo dei panini per entrambi.      Filippo      Fantastico! Allora a sabato.,Filippo,Viola,Due amici organizzano un giro in bicicletta per il fine settimana,No
null,Elia      Ciao Laura. Ho visto le foto della tua vacanza in Portogallo. Posti magnifici!      Laura      Ciao Elia! Grazie. È stato un viaggio stupendo lo consiglio a tutti.      Elia      Qual è la città che ti è piaciuta di più?      Laura      Lisbona senza dubbio. Ha un'atmosfera unica con le sue stradine e i suoi colori.      Elia      Me l'hanno detto in tanti. Devo assolutamente inserirla nella mia lista di posti da vedere.      Laura      Fai bene non te ne pentirai. Se decidi di andare chiedimi pure consigli.      Elia      Lo farò sicuramente. Grazie mille!,Elia,Laura,Un amico commenta le foto della vacanza di un'amica e le chiede informazioni,No
null,Marco      Giulia ho un problema con Excel. Sai come si fa una tabella pivot?      Giulia      Certo Marco è più facile di quello che sembra. Ti faccio vedere.      Marco      Grazie! Sto impazzendo da un'ora. Ho tutti questi dati e non so come organizzarli.      Giulia      Ok seleziona tutto l'intervallo di dati poi vai su 'Inserisci' e clicca 'Tabella pivot'.      Marco      Fatto. E adesso?      Giulia      Adesso trascina i campi che ti interessano nelle aree 'Righe' 'Colonne' e 'Valori'. Prova.      Marco      Wow! Incredibile! Ha riassunto tutto perfettamente. Grazie Giulia mi hai salvato!      Giulia      Prego! Se hai altri dubbi fammi sapere.,Marco,Giulia,Una collega aiuta un collega a creare una tabella pivot in Excel,No
null,Luca      Ciao Sofia! Come sta il tuo nuovo gattino?      Sofia      Ciao Luca! Sta benissimo è un terremoto! Corre e gioca tutto il giorno.      Luca      Che bello! Come l'hai chiamato alla fine?      Sofia      Leo. Gli si addice perfettamente è un piccolo re della casa.      Luca      Mi piace! Appena posso vengo a conoscerlo di persona.      Sofia      Ti aspetto! Porta la macchina fotografica perché è troppo fotogenico.      Luca      Sarà fatto! A presto.,Luca,Sofia,Un amico chiede a un'amica notizie del suo nuovo gattino,No
null,Andrea      Chiara mi serve un consiglio. Devo fare un discorso al matrimonio di mio fratello e non so da dove iniziare.      Chiara      Ciao Andrea! Che bella cosa. Secondo me dovresti partire da un aneddoto divertente su di voi.      Andrea      Mmm buona idea. Mi ricordo di quella volta che abbiamo allagato il bagno...      Chiara      Perfetto! Parti da lì poi aggiungi qualcosa di sincero sul vostro legame e finisci con un augurio per gli sposi.      Andrea      Ha senso. Così non è troppo noioso e nemmeno troppo sdolcinato.      Chiara      Esatto il giusto equilibrio. Sarai bravissimo vedrai.      Andrea      Grazie Chiara! Mi hai dato la struttura che mi mancava.,Andrea,Chiara,Un amico chiede consiglio a un'amica su come scrivere un discorso per un matrimonio,No
null,Matteo      Elena hai per caso una teglia per muffin da prestarmi? Volevo provare a farli.      Elena      Certo Matteo! Ne ho una in silicone che non si attacca. Passa pure a prenderla quando vuoi.      Matteo      Grazie mille! Sei un tesoro. Stasera provo la ricetta.      Elena      Poi fammi sapere come vengono! Anzi fammeli assaggiare!      Matteo      Promesso! Se escono bene te ne porto un paio domani.      Elena      Perfetto allora aspetto con ansia. In bocca al lupo per la preparazione!      Matteo      Crepi! Grazie ancora.,Matteo,Elena,Un amico chiede in prestito un utensile da cucina a un'amica,No
null,Simone      Ciao Martina! Ti andrebbe di venire al cinema venerdì sera? C'è un nuovo film che sembra interessante.      Martina      Ciao Simone! Volentieri di che film si tratta?      Simone      È un film d'animazione dello Studio Ghibli. Le recensioni sono ottime.      Martina      Adoro i loro film! Certo che vengo. A che ora sarebbe lo spettacolo?      Simone      C'è uno alle 20:30 e uno alle 21:45. Quale preferisci?      Martina      Facciamo quello delle 20:30 così dopo possiamo anche bere qualcosa.      Simone      Perfetto! Allora prenoto i biglietti. A venerdì!,Simone,Martina,Due amici si organizzano per andare al cinema insieme,No
null,Davide      Alice mi potresti dare il numero di quel ristorante dove siamo andati l'altra volta? Volevo prenotare.      Alice      Ciao Davide! Certo te lo cerco subito... Eccolo te lo mando su WhatsApp.      Davide      Grazie mille sei stata velocissima. Si mangiava troppo bene voglio portarci i miei genitori.      Alice      Hai fatto un'ottima scelta apprezzeranno sicuramente. Salutameli!      Davide      Certo grazie ancora per l'aiuto. Buona giornata!      Alice      Anche a te Davide! Ciao!,Davide,Alice,Un amico chiede a un'amica il numero di un ristorante per prenotare,No
null,Alessandro      Ciao Laura! Che ne dici di iscriverci a quel corso di fotografia di cui parlavamo?      Laura      Ciao Ale! Stavo per scrivertelo io! Ho visto che le iscrizioni chiudono la prossima settimana.      Alessandro      Allora dobbiamo sbrigarci. Facciamo l'iscrizione online oggi pomeriggio?      Laura      Sì perfetto. Ci sentiamo verso le 5 e la facciamo insieme?      Alessandro      Ottima idea così se abbiamo dubbi ce li risolviamo a vicenda.      Laura      Esatto. Non vedo l'ora di iniziare!      Alessandro      Nemmeno io! A dopo allora.,Alessandro,Laura,Due amici decidono di iscriversi insieme a un corso di fotografia,No
null,Francesco      Beatrice ho visto le tue storie su Instagram. Il trekking che hai fatto sembrava stupendo.      Beatrice      Ciao Fra! Sì è stato bellissimo. Un po' faticoso ma il panorama dalla cima ripagava di tutto.      Francesco      Immagino. Dove si trova quel sentiero?      Beatrice      È in Valle d'Aosta vicino a Courmayeur. Se vuoi ti do le indicazioni precise.      Francesco      Magari! Mi piacerebbe andarci quest'estate.      Beatrice      Certo te le scrivo in privato. Devi assolutamente andarci merita davvero.      Francesco      Grazie mille sei gentilissima.,Francesco,Beatrice,Un amico chiede informazioni a un'amica su un percorso di trekking,No
null,Lorenzo      Ciao Sara! Mi è venuta un'idea per la festa a sorpresa di Giulia.      Sara      Ciao Lorenzo! Dimmi tutto sono curiosa.      Lorenzo      Potremmo preparare un video con foto e messaggi da parte di tutti i suoi amici.      Sara      Che idea meravigliosa! Le piacerebbe tantissimo.      Lorenzo      Perfetto. Io mi occupo del montaggio video tu potresti raccogliere le foto e i messaggi?      Sara      Certo creo subito un gruppo e chiedo a tutti di mandarmi il materiale.      Lorenzo      Grande! Formeremo una squadra perfetta. Sarà una sorpresa indimenticabile.,Lorenzo,Sara,Due amici collaborano per organizzare una sorpresa per il compleanno di un'amica,No
null,Gabriele      Ciao Valentina hai iniziato a guardare la nuova stagione di quella serie TV?      Valentina      Ciao Gabri! Sì ho visto le prime due puntate ieri sera. Un inizio col botto!      Gabriele      Vero? Sono rimasto incollato allo schermo. Non mi aspettavo quel colpo di scena.      Valentina      Nemmeno io! Adesso non vedo l'ora che esca il prossimo episodio.      Gabriele      Siamo in due. Mi raccomando niente spoiler se vai avanti prima di me!      Valentina      Tranquillo la guarderemo quasi in contemporanea. Promesso.      Gabriele      Perfetto! Allora ci aggiorniamo dopo il prossimo episodio.,Gabriele,Valentina,Due amici commentano l'inizio di una nuova stagione della loro serie TV preferita,No
null,Riccardo      Irene sto provando a fare la pasta fresca ma l'impasto è troppo appiccicoso. Dove sbaglio?      Irene      Ciao Riccardo! Probabilmente devi aggiungere un po' di farina. Poca alla volta però.      Riccardo      Ok provo. Quanta farina per quante uova hai usato?      Irene      La regola classica è 100 grammi di farina per ogni uovo.      Riccardo      Ah ecco forse ho messo troppe uova. Ora capisco.      Irene      Può succedere. Aggiungi farina finché l'impasto non si attacca più alle dita. Vedrai che si sistema.      Riccardo      Grazie mille per il consiglio! Speriamo bene.      Irene      Figurati fammi sapere!,Riccardo,Irene,Un'amica dà consigli a un amico che sta provando a fare la pasta fresca,No
null,Tommaso      Ciao Silvia! Che fai di bello questo weekend?      Silvia      Ciao Tommaso! Niente di speciale pensavo di andare al mercato dell'antiquariato domenica mattina.      Tommaso      Che bella idea! Posso unirmi a te? Adoro curiosare tra le vecchie cose.      Silvia      Certo che puoi! Più siamo meglio è. Magari facciamo un affare.      Tommaso      Lo spero! A che ora pensavi di andare?      Silvia      Direi verso le 10 così non c'è ancora troppa folla. Ti va bene?      Tommaso      Perfetto. Ci vediamo direttamente lì?      Silvia      Sì davanti all'ingresso principale. A domenica!,Tommaso,Silvia,Due amici si organizzano per andare insieme a un mercato dell'antiquariato,No
null,Leonardo      Ciao Francesca! Ho saputo che ti sei laureata. Congratulazioni!      Francesca      Ciao Leonardo! Grazie mille sì finalmente ce l'ho fatta!      Leonardo      Sono super contento per te. Un traguardo meritatissimo. Festeggi?      Francesca      Sì sabato sera faccio una piccola festa con gli amici più stretti. Sei invitato ovviamente!      Leonardo      Grazie ci sarò sicuramente! Non vedo l'ora di festeggiare con te.      Francesca      Perfetto! Ti mando l'indirizzo e l'orario via messaggio.      Leonardo      Ottimo a sabato allora Dottoressa!,Leonardo,Francesca,Un amico si congratula con un'amica per la laurea e viene invitato alla festa,No
null,Federico      Ciao Elisa! Mi potresti ridare il titolo di quel documentario sulla natura che mi avevi consigliato?      Elisa      Ciao Fede! Certo si chiama 'Il nostro pianeta'. Lo trovi su Netflix.      Federico      Grazie! Stasera me lo guardo. Merita davvero?      Elisa      Assolutamente. Le immagini sono spettacolari e fa riflettere molto.      Federico      Ottimo è proprio quello che cercavo. Poi ti dico cosa ne penso.      Elisa      Va bene aspetto un tuo parere. Buona visione!      Federico      Grazie mille a presto!,Federico,Elisa,Un amico chiede a un'amica il titolo di un documentario che gli aveva consigliato,No
null,Giovanni      Paola scusa se ti disturbo. Sto cercando di prenotare un volo ma il sito continua a darmi errore.      Paola      Ciao Giovanni nessun disturbo. Prova a cancellare la cache e i cookie del browser.      Giovanni      Come si fa? Non sono molto pratico.      Paola      Dipende dal browser che usi. Se usi Chrome vai su Impostazioni Privacy e sicurezza e poi 'Cancella dati di navigazione'.      Giovanni      Ok sto provando... Fatto! Adesso riprovo a prenotare.      Paola      Fammi sapere se funziona. Altrimenti proviamo a usare un altro browser.      Giovanni      Ha funzionato! Prenotazione effettuata. Grazie Paola mi hai risolto un grosso problema!      Paola      Prego sono contenta di esserti stata utile.,Giovanni,Paola,Un'amica fornisce assistenza tecnica a un amico che ha problemi con un sito web,No
null,Pietro      Ciao Anna! Che bel maglione! Dove l'hai comprato?      Anna      Ciao Pietro! Grazie. L'ho trovato in un negozietto vintage in centro.      Pietro      Bello! Sto cercando un regalo per mia sorella e ha gusti simili ai tuoi.      Anna      Allora devi assolutamente farci un salto. Ha un sacco di cose carine e originali.      Pietro      Mi daresti l'indirizzo? Così ci vado nel weekend.      Anna      Certo te lo scrivo subito. Si trova in una traversa di Via Roma.      Pietro      Grazie mille sei un'amica! Speriamo di trovare qualcosa di adatto.      Anna      Sono sicura di sì. In bocca al lupo per la ricerca!,Pietro,Anna,Un amico chiede informazioni a un'amica su un negozio di abbigliamento,No
null,Daniele      Ciao Valentina. Senti volevo chiederti un parere. Sto pensando di cambiare auto.      Valentina      Ciao Daniele! Certo dimmi pure. Che tipo di auto stavi valutando?      Daniele      Sono indeciso tra un'ibrida e una completamente elettrica. Tu cosa ne pensi?      Valentina      Dipende molto dall'uso che ne fai. Se fai tanti chilometri in città l'elettrica è ottima.      Daniele      Sì la uso principalmente per il tragitto casa-lavoro. Però ho paura dell'autonomia per i viaggi lunghi.      Valentina      Allora forse l'ibrida plug-in è un buon compromesso. Hai l'elettrico per il quotidiano e il motore termico per le lunghe distanze.      Daniele      Non ci avevo pensato. Grazie per lo spunto mi informerò meglio su questi modelli.      Valentina      Figurati. È una scelta importante prenditi il tuo tempo.,Daniele,Valentina,Un amico chiede un parere a un'amica riguardo l'acquisto di una nuova auto,No
null,Antonio      Ciao Greta! Stavo pensando di ridipingere il salotto. Che colore mi consigli?      Greta      Ciao Antonio! Che bella idea. Per renderlo più luminoso potresti usare un grigio perla o un beige chiaro.      Antonio      Mmm il grigio perla mi piace. Pensi che stia bene con i mobili in legno scuro?      Greta      Sì crea un contrasto molto elegante. Potresti anche fare una sola parete di un colore più scuro per dare profondità.      Antonio      Tipo un blu petrolio? L'ho visto su una rivista.      Greta      Esatto! Quella parete e le altre tre in grigio perla. Sarebbe bellissimo.      Antonio      Mi hai convinto! Grazie per l'ispirazione. Appena finisco ti mando una foto.      Greta      Perfetto non vedo l'ora di vedere il risultato!,Antonio,Greta,Un'amica esperta di arredamento dà consigli a un amico su come dipingere una stanza,No
null,Filippo      Ciao Martina! Ti andrebbe di fare jogging insieme qualche volta? Da solo mi annoio.      Martina      Ciao Filippo! Certo volentieri! Anche io cerco sempre compagnia per correre.      Filippo      Fantastico! Quando saresti disponibile di solito? Mattina o sera?      Martina      Per me è meglio la sera dopo il lavoro verso le 19. Per te va bene?      Filippo      Sì perfetto anche per me. Ci possiamo trovare al parco vicino a casa nostra.      Martina      Ottimo. Allora iniziamo da domani sera?      Filippo      Affare fatto! A domani allora carica e pronta!      Martina      A domani!,Filippo,Martina,Due amici si mettono d'accordo per andare a correre insieme,No
null,Elia      Laura ho una domanda per te che sei un'esperta di cucina. Come si fa a non far attaccare le crepes alla padella?      Laura      Ciao Elia! Il trucco è scaldare bene la padella e ungerla con un pezzetto di burro prima di ogni crepe.      Elia      Ah io usavo l'olio. Forse è per quello.      Laura      Sì il burro funziona meglio. E la padella deve essere bella calda ma non fumante.      Elia      Capito. E l'impasto deve riposare?      Laura      Sì almeno mezz'ora in frigo. Aiuta a renderle più elastiche.      Elia      Perfetto. Grazie dei consigli preziosi. Stasera ci riprovo!      Laura      Figurati! Fammi sapere come va.,Elia,Laura,Un amico chiede consigli di cucina a un'amica esperta,No
null,Marco      Ciao Elena! Hai già pensato a cosa fare a Capodanno?      Elena      Ciao Marco! Non ancora sono in alto mare. Tu hai qualche idea?      Marco      Pensavo che potremmo affittare una casa in montagna con un gruppo di amici. Che ne pensi?      Elena      Sarebbe stupendo! Con il camino la neve... molto suggestivo.      Marco      Esatto. Potremmo iniziare a sondare il terreno con gli altri per vedere chi verrebbe.      Elena      Sì ottima idea. Creo un gruppo su WhatsApp e vediamo chi aderisce.      Marco      Perfetto! Intanto io inizio a guardare qualche annuncio online.      Elena      Grande! Teniamoci aggiornati.,Marco,Elena,Due amici iniziano a organizzare il Capodanno con un gruppo di amici,No
null,Luca      Ciao Giulia. Scusa il disturbo ma volevo chiederti se per caso hai il caricabatterie del portatile da prestarmi. Ho dimenticato il mio a casa.      Giulia      Ciao Luca certo. Controlla solo se l'attacco è compatibile con il tuo computer.      Luca      Sì abbiamo lo stesso modello dovrebbe andare bene. Mi salvi la giornata lavorativa!      Giulia      Figurati capita a tutti. Passa pure alla mia scrivania a prenderlo.      Luca      Arrivo subito. Grazie ancora te lo riporto prima di andare via.      Giulia      Tranquillo non c'è fretta. Lavora sereno.      Luca      Sei un tesoro grazie!,Luca,Giulia,Un collega chiede in prestito un caricabatterie a una collega,No
null,Andrea      Sofia hai visto il nuovo aggiornamento dell'app che usiamo per il lavoro?      Sofia      Sì Andrea l'ho installato stamattina. Hanno aggiunto delle funzioni interessanti.      Andrea      Vero? Soprattutto quella per la condivisione rapida dei file. Ci farà risparmiare un sacco di tempo.      Sofia      Concordo. E anche l'interfaccia mi sembra più pulita e intuitiva.      Andrea      Sì finalmente! La versione precedente era un po' caotica.      Sofia      Decisamente. Direi che è un passo avanti. Buona notizia per iniziare la giornata.      Andrea      Assolutamente! Buon lavoro Sofia.      Sofia      Anche a te Andrea!,Andrea,Sofia,Due colleghi commentano positivamente l'aggiornamento di un software di lavoro,No
null,Matteo      Ciao Chiara. Volevo solo dirti che il tuo aiuto ieri è stato fondamentale per chiudere quel progetto.      Chiara      Ciao Matteo! Ma figurati l'abbiamo fatto insieme. È un lavoro di squadra.      Matteo      Sì ma la tua idea finale ha sbloccato la situazione. Grazie davvero.      Chiara      Sono contenta che sia servita. L'importante è aver raggiunto l'obiettivo.      Matteo      Assolutamente. Oggi offro io il caffè per festeggiare.      Chiara      Ci sto! Pausa caffè tra un'oretta?      Matteo      Perfetto a dopo.      Chiara      A dopo!,Matteo,Chiara,Un collega ringrazia una collega per il suo contributo decisivo in un progetto,No
null,Simone      Ciao Paola! Stavo pensando di regalare un e-reader a mio padre. Tu che ne hai uno come ti trovi?      Paola      Ciao Simone! Io mi trovo benissimo è comodo leggero e non affatica la vista.      Simone      Ottimo. E la batteria dura tanto?      Paola      Sì dura settimane. È perfetto per chi legge molto anche in viaggio.      Simone      Mi sembra il regalo ideale per lui allora. Qualche modello da consigliare?      Paola      Io ho un Kindle Paperwhite e te lo consiglio. Ha anche la luce integrata per leggere al buio.      Simone      Perfetto guardo subito quello. Grazie mille per la dritta!      Paola      Prego! Sono sicura che tuo padre apprezzerà.,Simone,Paola,Un amico chiede consiglio a un'amica sull'acquisto di un e-reader,No
null,Davide      Ciao Francesca! Come procede il trasloco? Hai bisogno di una mano?      Francesca      Ciao Davide! Che pensiero gentile. In effetti un aiuto a montare la libreria mi farebbe comodo.      Davide      Contaci! Quando pensi di farlo? Sono libero nel weekend.      Francesca      Sabato pomeriggio sarebbe perfetto. Ti va bene?      Davide      Sì per me va benissimo. Porto anche i miei attrezzi.      Francesca      Sei un angelo! Non so come ringraziarti. Ovviamente dopo pizza per tutti.      Davide      Affare fatto! A sabato allora.      Francesca      A sabato!,Davide,Francesca,Un amico offre il suo aiuto a un'amica che sta traslocando,No
